margin,conf,changed,score,delta,fold0_delta,fold1_delta,both_positive
0.03,0.6,58,0.770926332842992,0.0008030525985005532,0.0005429365486003812,0.001057519170003518,True
0.06,0.6,108,0.7708529232770518,0.0007296430325604009,-0.00010843921899161835,0.0015566128556511183,False
0.06,0.7,62,0.7707685095731911,0.0006452293286997035,-1.3457796071314476e-05,0.0012944005369033285,False
0.1,0.7,99,0.7707681019077122,0.0006448216632207737,-2.9303444786243915e-06,0.0012816894706495496,False
0.06,0.65,87,0.7707503252490382,0.0006270450045468001,-0.00012609035543531544,0.0013735958512033353,False
0.08,0.6,140,0.7707491534945802,0.000625873250088782,-0.00013238796382342155,0.0013704639279513708,False
0.12,0.7,115,0.7707247293081577,0.0006014490636663261,-1.9969004150244274e-05,0.0012165580402052623,False
0.03,0.65,45,0.7707222428126995,0.0005989625682081279,0.00038810200137828765,0.0008109253717130116,True
0.03,0.55,76,0.7707211403573515,0.0005978601128601158,0.0005066417246937238,0.0006760492625673686,True
0.15,0.7,136,0.7707196289886096,0.0005963487441181803,-0.00017815781393148988,0.0013617844989470829,False
0.06,0.55,138,0.770711570065548,0.0005882898210566312,0.00010233553459915168,0.0010563517820897372,True
0.2,0.7,170,0.7707096637889352,0.000586383544443847,-0.00016844974189966777,0.001338860210905568,False
0.03,0.7,31,0.7706992894457307,0.000576009201239347,0.00043553041841049023,0.0007156823939613588,True
0.04,0.6,79,0.7706721929535186,0.0005489127090272383,0.0001245479345937106,0.0009666606808611533,True
0.08,0.7,86,0.7706649025963147,0.0005416223518233121,-3.708928880019613e-05,0.0011081932814209772,False
0.08,0.65,113,0.7706464854713684,0.0005232052268769882,-0.00015000673184761837,0.0011874400603979485,False
0.1,0.65,129,0.7706158662977457,0.0004925860532543069,-0.00011599920074512049,0.00109245341229669,False
0.05,0.6,95,0.7706154009562969,0.0004921207118054882,-0.00012925892154325158,0.0011055974051515927,False
0.1,0.6,161,0.770614563273684,0.0004912830291926573,-0.00030397210641197603,0.0012758426431626058,False
0.05,0.7,54,0.77060019585969,0.00047691561519858094,-3.3863670505063226e-05,0.000982383366110895,False
0.04,0.7,45,0.7705555502096985,0.00043226996520706606,1.773841541652388e-05,0.0008432850557842375,True
0.12,0.65,151,0.7705137990033032,0.00039051875881179754,-0.0002497989782080934,0.0010273219818524026,False
0.05,0.65,75,0.7705128242097145,0.00038954396522306034,-0.00014659971998198795,0.0009225641620250746,False
0.12,0.6,187,0.7705125441721655,0.00038926392767413276,-0.0004381325032513095,0.0012107112127183184,False
0.04,0.65,61,0.7705004427674592,0.00037716252296782216,-3.0020457029822367e-05,0.0007834658516983062,False
0.15,0.6,217,0.7704993971650607,0.0003761169205692694,-0.0005965699970665872,0.001341086464117236,False
0.04,0.55,103,0.7704760730929323,0.0003527928484409193,8.849665934218542e-05,0.000605771725166182,True
0.15,0.65,177,0.770445307054696,0.0003220268102046564,-0.0004078954182585859,0.001043991234717101,False
0.05,0.55,122,0.7704054392659092,0.000282159021417816,-5.587163370934789e-05,0.000605771725166182,False
0.08,0.55,177,0.7703874749211016,0.0002641946766102077,-0.00024190881848118462,0.0007448426760663374,False
0.2,0.65,219,0.770287298056037,0.00016401781154562478,-0.0006918081488238581,0.0010211675089843997,False
0.06,0.5,208,0.7702845600775653,0.0001612798330739018,-0.00010056285623982752,0.0004136477800935623,False
0.03,0.5,123,0.7702202763687019,9.69961242105466e-05,0.00027259311348748483,-8.722168229602367e-05,False
0.12,0.55,236,0.7702159855102206,9.270526572924265e-05,-0.00034458927686809027,0.0005106968517512023,False
0.15,0.55,272,0.7702017301027742,7.844985828275863e-05,-0.00050511445333834,0.0006396603007439161,False
0.2,0.6,269,0.7701900835897325,6.680334524111764e-05,-0.0009887026690695855,0.0011267380538612093,False
0.04,0.5,163,0.770135138850132,1.1858605640568953e-05,-0.00010021890716604975,0.00011826155575056507,False
0.1,0.55,204,0.7701106029829824,-1.2677261508997617e-05,-0.0005107988900684424,0.0004641034484133,False
0.05,0.5,190,0.7700573179755233,-6.596226896804502e-05,-0.0002595384613964802,0.00011826155575056507,False
0.2,0.55,335,0.7698027757586949,-0.00032050448579645785,-0.001024465438144051,0.0003678835577061168,False
0.03,0.45,219,0.7697851461194739,-0.0003381341250174863,0.0004490986319313217,-0.001129545303584334,False
0.06,0.45,363,0.7697605898657202,-0.00036269037877123544,0.0003201248387812994,-0.0010527600166946316,False
0.08,0.5,266,0.7697544607293516,-0.0003688195151397844,-0.0009033007647554214,0.00014617509341408041,False
0.03,0.4,440,0.7696744364525328,-0.0004488437919586419,0.0001953178899682939,-0.0010953661562386197,False
0.06,0.4,710,0.7696053987443575,-0.0005178815001338766,0.00027074719795838753,-0.0013090988377560953,False
0.03,0.3,734,0.7695470813114856,-0.000576198933005756,-0.00032458392127299174,-0.0008290014825355074,False
0.03,0.35,689,0.769533251109925,-0.0005900291345664055,-0.0002193575032348738,-0.0009620078994632131,False
0.04,0.45,279,0.7695057097329558,-0.0006175705115355479,-4.261440980379838e-05,-0.001194050070993935,False
0.05,0.45,327,0.7694651320986984,-0.0006581481457930138,-0.00011752284544819247,-0.0012030923592523113,False
0.04,0.4,552,0.7694175648935714,-0.0007057153509200109,-0.00029620241805328185,-0.0011164074074816455,False
0.06,0.35,1058,0.7694124537837297,-0.0007108264607617043,-0.00026780075978383167,-0.0011558633320991607,False
0.06,0.3,1115,0.7694005321894589,-0.0007227480550324739,-0.0003197871719778922,-0.001128196574311735,False
0.15,0.5,394,0.7693943668650974,-0.0007289133793939584,-0.001432077067136217,-4.154459233030039e-05,False
0.1,0.5,308,0.7693565729150095,-0.0007667073294819193,-0.0012743545562436953,-0.00027591889541456194,False
0.05,0.4,645,0.769341250391303,-0.0007820298531884262,-0.0002137309830080314,-0.0013515948690213664,False
0.08,0.45,452,0.7693271353683573,-0.0007961448761341083,-0.00047413726044376325,-0.0011367622369831132,False
0.12,0.5,350,0.7693090876575158,-0.0008141925869755706,-0.0011615589182233377,-0.0004838405550380287,False
0.04,0.35,854,0.7692223400871047,-0.0009009401573867315,-0.000867211343016483,-0.0009368871477244411,False
0.04,0.3,903,0.7692138080056246,-0.0009094722388668375,-0.0009726070635206474,-0.0008489489259347893,False
0.05,0.35,975,0.7691733836613085,-0.0009498965831828965,-0.000743146397954142,-0.0011571217746619844,False
0.05,0.3,1029,0.7691589282079246,-0.0009643520365667513,-0.0008006233533838225,-0.0011293774001626122,False
0.15,0.45,631,0.769053776430489,-0.0010695038140023927,-0.00037385557616065324,-0.001779327765124905,False
0.08,0.4,846,0.7690193827495043,-0.0011038974949870717,-0.000721279406552644,-0.001498620336753631,False
0.1,0.45,516,0.7689733226312851,-0.0011499576132062428,-0.0002585997856847655,-0.0020541502881612494,False
0.12,0.45,566,0.7689553800873444,-0.0011679001571469616,-0.00023937183527467099,-0.002108914540140616,False
0.2,0.5,467,0.7689166665483659,-0.0012066136961255136,-0.0021071212400339823,-0.0003126890146635253,False
0.08,0.35,1219,0.768698390302981,-0.0014248899415103544,-0.0014313926170715918,-0.0014284127525463486,False
0.15,0.4,1090,0.7686940752944208,-0.001429204950070595,-0.0010630767462130875,-0.001805352024191853,False
0.08,0.3,1280,0.7686657035968568,-0.001457576647634573,-0.001483392856729271,-0.0014420489236460776,False
0.12,0.4,1005,0.768651327729316,-0.001471952515175401,-0.0007013424575359473,-0.002250790878292941,False
